,Day,Time,LMP,bypass_pretreatment_flow,power_from_grid,intake.op_mode,intake.startup,intake.shutdown,intake.energy_intensity,intake.power_consumption,intake.recovery,intake.feed_flowrate,intake.product_flowrate,intake.reject_flowrate,intake.feed_cost,intake.chemical_cost,pretreatment.op_mode,pretreatment.startup,pretreatment.shutdown,pretreatment.energy_intensity,pretreatment.power_consumption,pretreatment.recovery,pretreatment.feed_flowrate,pretreatment.product_flowrate,pretreatment.reject_flowrate,reverse_osmosis.op_mode,reverse_osmosis.startup,reverse_osmosis.shutdown,reverse_osmosis.power_consumption,reverse_osmosis.feed_flowrate,reverse_osmosis.product_flowrate,reverse_osmosis.reject_flowrate,reverse_osmosis.inlet_flowrate,reverse_osmosis.leftover_flow,reverse_osmosis.ro_skid[1].op_mode,reverse_osmosis.ro_skid[1].startup,reverse_osmosis.ro_skid[1].shutdown,reverse_osmosis.ro_skid[1].energy_intensity,reverse_osmosis.ro_skid[1].power_consumption,reverse_osmosis.ro_skid[1].recovery,reverse_osmosis.ro_skid[1].feed_flowrate,reverse_osmosis.ro_skid[1].product_flowrate,reverse_osmosis.ro_skid[1].reject_flowrate,reverse_osmosis.ro_skid[2].op_mode,reverse_osmosis.ro_skid[2].startup,reverse_osmosis.ro_skid[2].shutdown,reverse_osmosis.ro_skid[2].energy_intensity,reverse_osmosis.ro_skid[2].power_consumption,reverse_osmosis.ro_skid[2].recovery,reverse_osmosis.ro_skid[2].feed_flowrate,reverse_osmosis.ro_skid[2].product_flowrate,reverse_osmosis.ro_skid[2].reject_flowrate,reverse_osmosis.ro_skid[3].op_mode,reverse_osmosis.ro_skid[3].startup,reverse_osmosis.ro_skid[3].shutdown,reverse_osmosis.ro_skid[3].energy_intensity,reverse_osmosis.ro_skid[3].power_consumption,reverse_osmosis.ro_skid[3].recovery,reverse_osmosis.ro_skid[3].feed_flowrate,reverse_osmosis.ro_skid[3].product_flowrate,reverse_osmosis.ro_skid[3].reject_flowrate,posttreatment.op_mode,posttreatment.startup,posttreatment.shutdown,posttreatment.energy_intensity,posttreatment.power_consumption,posttreatment.feed_flowrate,posttreatment.product_flowrate,posttreatment.reject_flowrate,posttreatment.chemical_cost,brine_discharge.op_mode,brine_discharge.startup,brine_discharge.shutdown,brine_discharge.feed_flowrate,brine_discharge.power_consumption,brine_discharge.brine_cost,num_skids_online,net_power_consumption,water_revenue,demand_response_revenue,emissions_cost,energy_cost
0,1,1,0.12955,0.0,2184.2635220437205,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,1790.5558259347204,1063.5,526.7652,486.2447999999998,1013.0100000000001,50.489999999999895,1.0,-0.0,0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08159999999992,1.0,0.0,0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816,1.0,0.0,0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08159999999984,1.0,,,0.41,215.973732,526.7652,526.7652,0.0,0.0,0.0,,,536.7347999999997,0.0,0.0,3.0,2184.2635220437205,0.0,-0.0,0.0,70.74283482019099
1,1,2,0.12955,0.0,2184.2635220437205,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,1790.5558259347204,1063.5,526.7652,486.2448,1013.0100000000001,50.489999999999895,1.0,-0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08159999999984,1.0,-0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08160000000015,1.0,,,0.41,215.973732,526.7652,526.7652,0.0,0.0,0.0,,,536.7348,0.0,0.0,3.0,2184.2635220437205,0.0,-0.0,0.0,70.74283482019099
2,1,3,0.12955,0.0,2184.2635220437205,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,1790.5558259347204,1063.5,526.7652,486.2448000000002,1013.0100000000001,50.489999999999895,1.0,-0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816000000001,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08160000000015,1.0,,,0.41,215.973732,526.7652,526.7652,0.0,0.0,0.0,,,536.7348000000002,0.0,0.0,3.0,2184.2635220437205,0.0,-0.0,0.0,70.74283482019099
3,1,4,0.12955,0.0,2184.2635220437205,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,1790.5558259347204,1063.5,526.7652,486.2447999999998,1013.0100000000001,50.489999999999895,1.0,-0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08159999999992,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08159999999992,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816,1.0,,,0.41,215.973732,526.7652,526.7652,0.0,0.0,0.0,,,536.7347999999997,0.0,0.0,3.0,2184.2635220437205,0.0,-0.0,0.0,70.74283482019099
4,1,5,0.12955,0.0,2184.2635220437205,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,1790.5558259347204,1063.5,526.7652000000007,486.2448000000002,1013.0100000000001,50.489999999999895,1.0,-0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08159999999992,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08160000000015,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08160000000015,1.0,,,0.41,215.9737320000003,526.7652000000007,526.7652000000007,0.0,0.0,0.0,,,536.7348000000002,0.0,0.0,3.0,2184.2635220437205,0.0,-0.0,0.0,70.74283482019099
5,1,6,0.12955,0.0,2184.2635220437205,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,1790.5558259347204,1063.5,526.7652,486.2447999999997,1013.0100000000001,50.489999999999895,1.0,-0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08159999999984,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08159999999984,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816,1.0,,,0.41,215.973732,526.7652,526.7652,0.0,0.0,0.0,,,536.7347999999996,0.0,0.0,3.0,2184.2635220437205,0.0,-0.0,0.0,70.74283482019099
6,1,7,0.12955,0.0,2184.2635220437205,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,1790.5558259347204,1063.5,526.7652000000007,486.24480000000017,1013.0100000000001,50.489999999999895,1.0,-0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08160000000015,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08160000000015,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08159999999984,1.0,,,0.41,215.9737320000003,526.7652000000007,526.7652000000007,0.0,0.0,0.0,,,536.7348000000001,0.0,0.0,3.0,2184.2635220437205,0.0,-0.0,0.0,70.74283482019099
7,1,8,0.12955,0.0,2184.2635220437205,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,1790.5558259347204,1063.5,526.7652,486.24480000000017,1013.0100000000001,50.489999999999895,1.0,-0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816000000001,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816000000001,1.0,,,0.41,215.973732,526.7652,526.7652,0.0,0.0,0.0,,,536.7348000000001,0.0,0.0,3.0,2184.2635220437205,0.0,-0.0,0.0,70.74283482019099
8,1,9,0.12955,0.0,2184.2635220437205,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,1790.5558259347204,1063.5,526.7652,486.2448000000001,1013.0100000000001,50.489999999999895,1.0,-0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816000000001,1.0,,,0.41,215.973732,526.7652,526.7652,0.0,0.0,0.0,,,536.7348,0.0,0.0,3.0,2184.2635220437205,0.0,-0.0,0.0,70.74283482019099
9,1,10,0.12955,0.0,2184.2635220437205,,,,0.157121734,167.098964109,1,1063.5,1063.5,-0.0,0.0,0.0,1,,,0.01,10.635,1,1063.5,1063.5,-0.0,,,,1790.5558259347204,1063.5,526.7652,486.2447999999998,1013.0100000000001,50.489999999999895,1.0,-0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.0816,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08159999999992,1.0,0.0,-0.0,3.3991536000000004,596.8519419782401,0.52,337.67,175.5884,162.08159999999984,1.0,,,0.41,215.973732,526.7652,526.7652,0.0,0.0,0.0,,,536.7347999999997,0.0,0.0,3.0,2184.2635220437205,0.0,-0.0,0.0,70.74283482019099
