Annual Production (AF),Number of Allowed Shutdowns,Total Water Production (m3),Total Cost ($),Total Energy Cost ($),Total Demand Cost ($),Total Feed Cost ($),Total Brine Cost ($),Total Chemical Cost ($),Total Electricity Cost ($),Total Replacement Cost ($),Degree of Flexibility,Levelized Cost of Water ($/m3)
11000,0,258664.69865974635,232007.09956997153,18466.26743634605,12556.459568883976,46890.78428834364,14793.162351232648,17748.443398283485,31022.727005230026,992.3107078853046,0.0,0.8969414874627293
11000,1,258664.69865969775,232007.09951177693,18466.267378141125,12556.459568883363,46890.784288344184,14793.162351244473,17748.44339828205,31022.726947024486,992.3107078853046,0.0,0.896941487237917
11000,2,258664.6986301362,232007.09455423808,18466.267151717584,12556.459434999419,46890.78310502292,14793.159183789918,17748.443151826512,31022.726586717003,992.3107078853046,0.0,0.8969414681745354
11000,3,258664.6986595684,232007.0994620382,18466.26728094803,12556.459570519035,46890.78429962203,14793.16238344921,17748.443400618187,31022.726851467065,992.3107078853046,0.0,0.8969414870460751
11000,4,258664.69864731337,232007.09892903344,18466.266790543126,12556.459568881737,46890.78428877686,14793.162355962086,17748.443397987925,31022.726359424865,992.3107078853046,0.0,0.8969414850279693
11000,5,258664.69862954062,229075.1902109686,18344.232241233905,10560.279776068164,46681.87687297243,14231.72368515486,17705.095108657515,28904.51201730207,1001.3044605247485,0.08982035928143713,0.8856067001978105
13000,0,319199.9728990895,257752.09083295462,21855.24351806683,14860.853854175206,58240.00003095457,19264.011736581484,21979.999166294787,36716.09737224203,992.3107078853046,0.0,0.8074940874585828
13000,1,305900.0,252644.12443322322,20892.39118225671,14860.917390751432,55813.33333333327,18461.333333333336,21064.16666666673,35753.308573008144,995.8887513031602,0.03592814371257485,0.8259042969376372
13000,2,305695.16063796607,251349.07790142985,21760.58075380335,14428.252281699695,55348.044013759594,17298.94921265335,20961.269112632126,36188.83303550305,995.8887513031602,0.03592814371257485,0.8222213180505722
13000,3,305694.64383561583,249089.76392361365,22119.506802283286,12852.72678653892,55080.28516003103,16579.569518268123,20905.693129610547,34972.23358882221,1003.1228100293331,0.10778443113772455,0.8148319538681846
13000,4,305694.64383561397,248077.3573705753,21305.121698441744,11656.65414501295,55336.52423379984,17268.21202902147,20958.862737417578,32961.77584345469,1006.7793937839967,0.1437125748502994,0.8115201308662048
13000,5,305720.36824135674,248136.89966830402,21213.007332736714,11578.996253684374,55398.03349978523,17422.4566885285,20972.423366687475,32792.00358642109,1010.462733029548,0.17964071856287425,0.8116466073088321
