DateTime,electric_customer_fixed_charge,electric_energy_on_peak,electric_energy_mid_peak,electric_energy_off_peak,electric_energy_super_off_peak,electric_demand_fixed,electric_demand_peak,electric_demand_response_price,solar_output_kW
3/1/2021 0:00,0,0,0,0.12215,0,28.07,0,0,26.13477343
3/1/2021 1:00,0,0,0,0.12215,0,28.07,0,0,26.82138609
3/1/2021 2:00,0,0,0,0.12215,0,28.07,0,0,26.65773455
3/1/2021 3:00,0,0,0,0.12215,0,28.07,0,0,26.43305798
3/1/2021 4:00,0,0,0,0.12215,0,28.07,0,0,30.30801921
3/1/2021 5:00,0,0,0,0.12215,0,28.07,0,0,49.78716779
3/1/2021 6:00,0,0,0,0.12215,0,28.07,0,0,52.85395238
3/1/2021 7:00,0,0,0,0.12215,0,28.07,0,0,48.3925859
3/1/2021 8:00,0,0,0,0,0.08563,28.07,0,0,40.64603614
3/1/2021 9:00,0,0,0,0,0.08563,28.07,0,0,33.02471588
3/1/2021 10:00,0,0,0,0,0.08563,28.07,0,0,36.64711906
3/1/2021 11:00,0,0,0,0,0.08563,28.07,0,0,34.24825037
3/1/2021 12:00,0,0,0,0,0.08563,28.07,0,0,36.41609312
3/1/2021 13:00,0,0,0,0,0.08563,28.07,0,0,37.52663928
3/1/2021 14:00,0,0,0,0,0.08563,28.07,0,0,34.60216562
3/1/2021 15:00,0,0,0,0,0.08563,28.07,0,0,36.832088
3/1/2021 16:00,0,0,0,0,0.08563,28.07,0,0,37.19462093
3/1/2021 17:00,0,0,0.12314,0,0,28.07,10.23,0,37.02236536
3/1/2021 18:00,0,0,0.12314,0,0,28.07,10.23,0,24.88949206
3/1/2021 19:00,0,0,0.12314,0,0,28.07,10.23,0,23.81514826
3/1/2021 20:00,0,0,0.12314,0,0,28.07,10.23,0,26.3123909
3/1/2021 21:00,0,0,0.12314,0,0,28.07,10.23,0,24.55420171
3/1/2021 22:00,0,0,0,0.12215,0,28.07,0,0,22.13198244
3/1/2021 23:00,0,0,0,0.12215,0,28.07,0,0,21.28475752
3/2/2021 0:00,0,0,0,0.12215,0,28.07,0,0,21.90641863
3/2/2021 1:00,0,0,0,0.12215,0,28.07,0,0,21.38508532
3/2/2021 2:00,0,0,0,0.12215,0,28.07,0,0,28.33486433
3/2/2021 3:00,0,0,0,0.12215,0,28.07,0,0,29.94473711
3/2/2021 4:00,0,0,0,0.12215,0,28.07,0,0,32.36288156
3/2/2021 5:00,0,0,0,0.12215,0,28.07,0,0,50.99491781
3/2/2021 6:00,0,0,0,0.12215,0,28.07,0,0,56.77974023
3/2/2021 7:00,0,0,0,0.12215,0,28.07,0,0,49.61042901
3/2/2021 8:00,0,0,0,0,0.08563,28.07,0,0,39.13563024
3/2/2021 9:00,0,0,0,0,0.08563,28.07,0,0,34.80744774
3/2/2021 10:00,0,0,0,0,0.08563,28.07,0,0,37.53628324
3/2/2021 11:00,0,0,0,0,0.08563,28.07,0,0,32.76872318
3/2/2021 12:00,0,0,0,0,0.08563,28.07,0,0,33.99891058
3/2/2021 13:00,0,0,0,0,0.08563,28.07,0,0,39.39709121
3/2/2021 14:00,0,0,0,0,0.08563,28.07,0,0,38.72798441
3/2/2021 15:00,0,0,0,0,0.08563,28.07,0,0,38.20533927
3/2/2021 16:00,0,0,0,0,0.08563,28.07,0,0,35.82304283
3/2/2021 17:00,0,0,0.12314,0,0,28.07,10.23,0,36.01969679
3/2/2021 18:00,0,0,0.12314,0,0,28.07,10.23,0,28.48687837
3/2/2021 19:00,0,0,0.12314,0,0,28.07,10.23,0,24.95612109
3/2/2021 20:00,0,0,0.12314,0,0,28.07,10.23,0,23.96475805
3/2/2021 21:00,0,0,0.12314,0,0,28.07,10.23,0,23.33065698
3/2/2021 22:00,0,0,0,0.12215,0,28.07,0,0,22.55185652
3/2/2021 23:00,0,0,0,0.12215,0,28.07,0,0,22.00451154
3/3/2021 0:00,0,0,0,0.12215,0,28.07,0,0,22.82962047
3/3/2021 1:00,0,0,0,0.12215,0,28.07,0,0,22.04307974
3/3/2021 2:00,0,0,0,0.12215,0,28.07,0,0,26.98635691
3/3/2021 3:00,0,0,0,0.12215,0,28.07,0,0,32.12629358
3/3/2021 4:00,0,0,0,0.12215,0,28.07,0,0,35.34675973
3/3/2021 5:00,0,0,0,0.12215,0,28.07,0,0,53.46978273
3/3/2021 6:00,0,0,0,0.12215,0,28.07,0,0,59.65894936
3/3/2021 7:00,0,0,0,0.12215,0,28.07,0,0,54.15213987
3/3/2021 8:00,0,0,0,0,0.08563,28.07,0,0,40.52430356
3/3/2021 9:00,0,0,0,0,0.08563,28.07,0,0,45.38241116
3/3/2021 10:00,0,0,0,0,0.08563,28.07,0,0,48.63522099
3/3/2021 11:00,0,0,0,0,0.08563,28.07,0,0,54.73303731
3/3/2021 12:00,0,0,0,0,0.08563,28.07,0,0,54.29110944
3/3/2021 13:00,0,0,0,0,0.08563,28.07,0,0,55.98894511
3/3/2021 14:00,0,0,0,0,0.08563,28.07,0,0,53.16269288
3/3/2021 15:00,0,0,0,0,0.08563,28.07,0,0,48.86556195
3/3/2021 16:00,0,0,0,0,0.08563,28.07,0,0,41.29816723
3/3/2021 17:00,0,0,0.12314,0,0,28.07,10.23,0,34.50387606
3/3/2021 18:00,0,0,0.12314,0,0,28.07,10.23,0,22.25628814
3/3/2021 19:00,0,0,0.12314,0,0,28.07,10.23,0,21.51528535
3/3/2021 20:00,0,0,0.12314,0,0,28.07,10.23,0,21.83791553
3/3/2021 21:00,0,0,0.12314,0,0,28.07,10.23,0,27.41264998
3/3/2021 22:00,0,0,0,0.12215,0,28.07,0,0,27.53821763
3/3/2021 23:00,0,0,0,0.12215,0,28.07,0,0,32.3199903
3/4/2021 0:00,0,0,0,0.12215,0,28.07,0,0,31.11870544
3/4/2021 1:00,0,0,0,0.12215,0,28.07,0,0,33.82271487
3/4/2021 2:00,0,0,0,0.12215,0,28.07,0,0,41.71474974
3/4/2021 3:00,0,0,0,0.12215,0,28.07,0,0,32.47979717
3/4/2021 4:00,0,0,0,0.12215,0,28.07,0,0,38.02384957
3/4/2021 5:00,0,0,0,0.12215,0,28.07,0,0,60.23837644
3/4/2021 6:00,0,0,0,0.12215,0,28.07,0,0,60.37067802
3/4/2021 7:00,0,0,0,0.12215,0,28.07,0,0,55.08058595
3/4/2021 8:00,0,0,0,0,0.08563,28.07,0,0,45.16116431
3/4/2021 9:00,0,0,0,0,0.08563,28.07,0,0,33.00926274
3/4/2021 10:00,0,0,0,0,0.08563,28.07,0,0,34.13005103
3/4/2021 11:00,0,0,0,0,0.08563,28.07,0,0,34.43337446
3/4/2021 12:00,0,0,0,0,0.08563,28.07,0,0,28.79575058
3/4/2021 13:00,0,0,0,0,0.08563,28.07,0,0,32.14012091
3/4/2021 14:00,0,0,0,0,0.08563,28.07,0,0,34.712674
3/4/2021 15:00,0,0,0,0,0.08563,28.07,0,0,35.96825454
3/4/2021 16:00,0,0,0,0,0.08563,28.07,0,0,36.73980554
3/4/2021 17:00,0,0,0.12314,0,0,28.07,10.23,0,34.357737
3/4/2021 18:00,0,0,0.12314,0,0,28.07,10.23,0,25.60805056
3/4/2021 19:00,0,0,0.12314,0,0,28.07,10.23,0,27.14019416
3/4/2021 20:00,0,0,0.12314,0,0,28.07,10.23,0,28.04010243
3/4/2021 21:00,0,0,0.12314,0,0,28.07,10.23,0,24.74008708
3/4/2021 22:00,0,0,0,0.12215,0,28.07,0,0,21.2209129
3/4/2021 23:00,0,0,0,0.12215,0,28.07,0,0,23.69604371
3/5/2021 0:00,0,0,0,0.12215,0,28.07,0,0,25.42356141
3/5/2021 1:00,0,0,0,0.12215,0,28.07,0,0,29.00215487
3/5/2021 2:00,0,0,0,0.12215,0,28.07,0,0,30.3946263
3/5/2021 3:00,0,0,0,0.12215,0,28.07,0,0,32.10757969
3/5/2021 4:00,0,0,0,0.12215,0,28.07,0,0,35.18103486
3/5/2021 5:00,0,0,0,0.12215,0,28.07,0,0,55.35837808
3/5/2021 6:00,0,0,0,0.12215,0,28.07,0,0,57.12597337
3/5/2021 7:00,0,0,0,0.12215,0,28.07,0,0,51.01193165
3/5/2021 8:00,0,0,0,0,0.08563,28.07,0,0,38.47951115
3/5/2021 9:00,0,0,0,0,0.08563,28.07,0,0,38.22265438
3/5/2021 10:00,0,0,0,0,0.08563,28.07,0,0,42.210136
3/5/2021 11:00,0,0,0,0,0.08563,28.07,0,0,42.19082995
3/5/2021 12:00,0,0,0,0,0.08563,28.07,0,0,44.27879844
3/5/2021 13:00,0,0,0,0,0.08563,28.07,0,0,45.78706801
3/5/2021 14:00,0,0,0,0,0.08563,28.07,0,0,37.95297017
3/5/2021 15:00,0,0,0,0,0.08563,28.07,0,0,33.34888933
3/5/2021 16:00,0,0,0,0,0.08563,28.07,0,0,33.6916154
3/5/2021 17:00,0,0,0.12314,0,0,28.07,10.23,0,32.26097239
3/5/2021 18:00,0,0,0.12314,0,0,28.07,10.23,0,24.51033899
3/5/2021 19:00,0,0,0.12314,0,0,28.07,10.23,0,23.40378909
3/5/2021 20:00,0,0,0.12314,0,0,28.07,10.23,0,23.55388055
3/5/2021 21:00,0,0,0.12314,0,0,28.07,10.23,0,22.41391523
3/5/2021 22:00,0,0,0,0.12215,0,28.07,0,0,22.56061305
3/5/2021 23:00,0,0,0,0.12215,0,28.07,0,0,22.36397573
3/6/2021 0:00,0,0,0,0.12215,0,28.07,0,0,22.70636438
3/6/2021 1:00,0,0,0,0.12215,0,28.07,0,0,22.00371403
3/6/2021 2:00,0,0,0,0.12215,0,28.07,0,0,22.01800126
3/6/2021 3:00,0,0,0,0.12215,0,28.07,0,0,22.27135438
3/6/2021 4:00,0,0,0,0.12215,0,28.07,0,0,27.57437302
3/6/2021 5:00,0,0,0,0.12215,0,28.07,0,0,42.41834331
3/6/2021 6:00,0,0,0,0.12215,0,28.07,0,0,51.12484628
3/6/2021 7:00,0,0,0,0.12215,0,28.07,0,0,49.15733045
3/6/2021 8:00,0,0,0,0,0.08563,28.07,0,0,40.19213388
3/6/2021 9:00,0,0,0,0,0.08563,28.07,0,0,36.51719879
3/6/2021 10:00,0,0,0,0,0.08563,28.07,0,0,34.38948511
3/6/2021 11:00,0,0,0,0,0.08563,28.07,0,0,32.71069951
3/6/2021 12:00,0,0,0,0,0.08563,28.07,0,0,35.60950025
3/6/2021 13:00,0,0,0,0,0.08563,28.07,0,0,35.82992869
3/6/2021 14:00,0,0,0,0,0.08563,28.07,0,0,38.77184473
3/6/2021 15:00,0,0,0,0,0.08563,28.07,0,0,34.27462405
3/6/2021 16:00,0,0,0,0,0.08563,28.07,0,0,34.50513713
3/6/2021 17:00,0,0,0.12314,0,0,28.07,10.23,0,31.99205836
3/6/2021 18:00,0,0,0.12314,0,0,28.07,10.23,0,23.73488907
3/6/2021 19:00,0,0,0.12314,0,0,28.07,10.23,0,23.29023263
3/6/2021 20:00,0,0,0.12314,0,0,28.07,10.23,0,22.40424878
3/6/2021 21:00,0,0,0.12314,0,0,28.07,10.23,0,22.35203067
3/6/2021 22:00,0,0,0,0.12215,0,28.07,0,0,22.27281827
3/6/2021 23:00,0,0,0,0.12215,0,28.07,0,0,22.15707389
3/7/2021 0:00,0,0,0,0.12215,0,28.07,0,0,23.05571193
3/7/2021 1:00,0,0,0,0.12215,0,28.07,0,0,22.11605332
3/7/2021 2:00,0,0,0,0.12215,0,28.07,0,0,23.09336826
3/7/2021 3:00,0,0,0,0.12215,0,28.07,0,0,22.11944253
3/7/2021 4:00,0,0,0,0.12215,0,28.07,0,0,25.96767702
3/7/2021 5:00,0,0,0,0.12215,0,28.07,0,0,35.17174595
3/7/2021 6:00,0,0,0,0.12215,0,28.07,0,0,39.1626434
3/7/2021 7:00,0,0,0,0.12215,0,28.07,0,0,36.40536543
3/7/2021 8:00,0,0,0,0,0.08563,28.07,0,0,33.91618613
3/7/2021 9:00,0,0,0,0,0.08563,28.07,0,0,34.41184891
3/7/2021 10:00,0,0,0,0,0.08563,28.07,0,0,34.83742182
3/7/2021 11:00,0,0,0,0,0.08563,28.07,0,0,33.89573914
3/7/2021 12:00,0,0,0,0,0.08563,28.07,0,0,32.01613629
3/7/2021 13:00,0,0,0,0,0.08563,28.07,0,0,31.03629131
3/7/2021 14:00,0,0,0,0,0.08563,28.07,0,0,37.03253708
3/7/2021 15:00,0,0,0,0,0.08563,28.07,0,0,34.17727463
3/7/2021 16:00,0,0,0,0,0.08563,28.07,0,0,33.86481108
3/7/2021 17:00,0,0,0.12314,0,0,28.07,10.23,0,30.93230782
3/7/2021 18:00,0,0,0.12314,0,0,28.07,10.23,0,23.13860201
3/7/2021 19:00,0,0,0.12314,0,0,28.07,10.23,0,22.17985736
3/7/2021 20:00,0,0,0.12314,0,0,28.07,10.23,0,22.03889819
3/7/2021 21:00,0,0,0.12314,0,0,28.07,10.23,0,22.45939072
3/7/2021 22:00,0,0,0,0.12215,0,28.07,0,0,22.77924241
3/7/2021 23:00,0,0,0,0.12215,0,28.07,0,0,22.1130208
