,Day,Time,LMP,bypass_pretreatment_flow,power_from_grid,intake.op_mode,intake.startup,intake.shutdown,intake.energy_intensity,intake.power_consumption,intake.recovery,intake.feed_flowrate,intake.product_flowrate,intake.reject_flowrate,intake.feed_cost,intake.chemical_cost,pretreatment.op_mode,pretreatment.startup,pretreatment.shutdown,pretreatment.power_consumption,pretreatment.feed_flowrate,pretreatment.product_flowrate,pretreatment.reject_flowrate,pretreatment.inlet_flowrate,pretreatment.leftover_flow,pretreatment.uf_pumps[1].op_mode,pretreatment.uf_pumps[1].startup,pretreatment.uf_pumps[1].shutdown,pretreatment.uf_pumps[1].energy_intensity,pretreatment.uf_pumps[1].power_consumption,pretreatment.uf_pumps[1].recovery,pretreatment.uf_pumps[1].feed_flowrate,pretreatment.uf_pumps[1].product_flowrate,pretreatment.uf_pumps[1].reject_flowrate,pretreatment.uf_pumps[2].op_mode,pretreatment.uf_pumps[2].startup,pretreatment.uf_pumps[2].shutdown,pretreatment.uf_pumps[2].energy_intensity,pretreatment.uf_pumps[2].power_consumption,pretreatment.uf_pumps[2].recovery,pretreatment.uf_pumps[2].feed_flowrate,pretreatment.uf_pumps[2].product_flowrate,pretreatment.uf_pumps[2].reject_flowrate,pretreatment.uf_pumps[3].op_mode,pretreatment.uf_pumps[3].startup,pretreatment.uf_pumps[3].shutdown,pretreatment.uf_pumps[3].energy_intensity,pretreatment.uf_pumps[3].power_consumption,pretreatment.uf_pumps[3].recovery,pretreatment.uf_pumps[3].feed_flowrate,pretreatment.uf_pumps[3].product_flowrate,pretreatment.uf_pumps[3].reject_flowrate,reverse_osmosis.op_mode,reverse_osmosis.startup,reverse_osmosis.shutdown,reverse_osmosis.power_consumption,reverse_osmosis.feed_flowrate,reverse_osmosis.product_flowrate,reverse_osmosis.reject_flowrate,reverse_osmosis.inlet_flowrate,reverse_osmosis.leftover_flow,reverse_osmosis.ro_skid[1].op_mode,reverse_osmosis.ro_skid[1].startup,reverse_osmosis.ro_skid[1].shutdown,reverse_osmosis.ro_skid[1].energy_intensity,reverse_osmosis.ro_skid[1].power_consumption,reverse_osmosis.ro_skid[1].recovery,reverse_osmosis.ro_skid[1].feed_flowrate,reverse_osmosis.ro_skid[1].product_flowrate,reverse_osmosis.ro_skid[1].reject_flowrate,reverse_osmosis.ro_skid[2].op_mode,reverse_osmosis.ro_skid[2].startup,reverse_osmosis.ro_skid[2].shutdown,reverse_osmosis.ro_skid[2].energy_intensity,reverse_osmosis.ro_skid[2].power_consumption,reverse_osmosis.ro_skid[2].recovery,reverse_osmosis.ro_skid[2].feed_flowrate,reverse_osmosis.ro_skid[2].product_flowrate,reverse_osmosis.ro_skid[2].reject_flowrate,reverse_osmosis.ro_skid[3].op_mode,reverse_osmosis.ro_skid[3].startup,reverse_osmosis.ro_skid[3].shutdown,reverse_osmosis.ro_skid[3].energy_intensity,reverse_osmosis.ro_skid[3].power_consumption,reverse_osmosis.ro_skid[3].recovery,reverse_osmosis.ro_skid[3].feed_flowrate,reverse_osmosis.ro_skid[3].product_flowrate,reverse_osmosis.ro_skid[3].reject_flowrate,reverse_osmosis.ro_skid[4].op_mode,reverse_osmosis.ro_skid[4].startup,reverse_osmosis.ro_skid[4].shutdown,reverse_osmosis.ro_skid[4].energy_intensity,reverse_osmosis.ro_skid[4].power_consumption,reverse_osmosis.ro_skid[4].recovery,reverse_osmosis.ro_skid[4].feed_flowrate,reverse_osmosis.ro_skid[4].product_flowrate,reverse_osmosis.ro_skid[4].reject_flowrate,posttreatment.op_mode,posttreatment.startup,posttreatment.shutdown,posttreatment.energy_intensity,posttreatment.power_consumption,posttreatment.feed_flowrate,posttreatment.product_flowrate,posttreatment.reject_flowrate,posttreatment.chemical_cost,brine_discharge.op_mode,brine_discharge.startup,brine_discharge.shutdown,brine_discharge.feed_flowrate,brine_discharge.power_consumption,brine_discharge.brine_cost,num_skids_online,net_power_consumption,water_revenue,demand_response_revenue,emissions_cost,energy_cost
0,1,1,0.1016,0.0,1459.1508948809656,,,,0,0.0,1,2500.0,2500.0,0.0,400.0,83.0,0.0,,,384.73364169677177,2500.0,2400.0,100.0,2500.0,0.0,1.0,0.0,0.0,0.16036530924945996,128.43048043653855,0.96,834.2312379207922,800.8619884039605,33.369249516831715,1.0,0.0,0.0,0.16027582322580552,128.15158063011648,0.96,832.8843810396039,799.5690057980197,33.315375241584185,1.0,0.0,0.0,0.1602758232258056,128.15158063011674,0.96,832.8843810396052,799.569005798021,33.315375241584235,,,,850.1972531841933,2400.0,2220.0,180.0,2400.0,0.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0.0,0.0,0.38297173566855536,212.54931329604855,0.925,600.0,555.0,45.0,1.0,0.0,0.0,0.38297173566855547,212.54931329604867,0.925,600.0,555.0,45.0,1.0,,,0.101,224.22000000000043,2220.0,2220.0,0.0,68.82000000000012,0.0,,,280.0,0.0,120.4,4.0,1459.1508948809656,0.0,-0.0,0.0,148.24973091990609
1,1,2,0.1016,0.0,1459.150894880966,,,,0,0.0,1,2500.0,2500.0,0.0,400.0,83.0,0.0,,,384.7336416967719,2500.0,2400.0,100.0,2500.0,0.0,1.0,0.0,0.0,0.16036530924946013,128.43048043653909,0.96,834.2312379207948,800.861988403963,33.36924951683182,1.0,0.0,0.0,0.1602758232258054,128.15158063011617,0.96,832.8843810396024,799.5690057980183,33.31537524158413,1.0,0.0,0.0,0.16027582322580564,128.15158063011665,0.96,832.8843810396045,799.5690057980203,33.315375241584206,,,,850.1972531841936,2400.0,2220.0,180.0,2400.0,0.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0.0,0.0,0.38297173566855547,212.54931329604867,0.925,600.0,555.0,45.0,1.0,0.0,0.0,0.3829717356685556,212.54931329604887,0.925,600.0,555.0,45.0,1.0,,,0.101,224.22000000000048,2220.0,2220.0,0.0,68.82000000000014,0.0,,,280.0,0.0,120.4,4.0,1459.150894880966,0.0,-0.0,0.0,148.24973091990614
2,1,3,0.1016,0.0,1459.1508948809656,,,,0,0.0,1,2500.0,2500.0,0.0,400.0,83.0,0.0,,,384.73364169677177,2500.0,2400.0,100.0,2500.0,0.0,1.0,0.0,0.0,0.1603653092494603,128.43048043653957,0.96,834.2312379207971,800.8619884039651,33.369249516831914,1.0,0.0,0.0,0.1602758232258053,128.15158063011586,0.96,832.8843810396012,799.5690057980171,33.31537524158408,1.0,0.0,0.0,0.1602758232258055,128.1515806301163,0.96,832.8843810396029,799.5690057980188,33.31537524158414,,,,850.1972531841933,2400.0,2220.0,180.0,2400.0,0.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0.0,0.0,0.38297173566855536,212.54931329604855,0.925,600.0,555.0,45.0,1.0,0.0,0.0,0.38297173566855547,212.54931329604867,0.925,600.0,555.0,45.0,1.0,,,0.101,224.22000000000043,2220.0,2220.0,0.0,68.82000000000012,0.0,,,280.0,0.0,120.4,4.0,1459.1508948809656,0.0,-0.0,0.0,148.24973091990609
3,1,4,0.1016,0.0,1459.1508948809644,,,,0,0.0,1,2500.0,2500.0,0.0,400.0,83.0,0.0,,,384.73364169677166,2500.0,2400.0,100.0,2500.0,0.0,1.0,0.0,0.0,0.16036530924946044,128.43048043654005,0.96,834.2312379207997,800.8619884039676,33.369249516832014,1.0,0.0,0.0,0.1602758232258053,128.15158063011566,0.96,832.8843810395997,799.5690057980157,33.315375241584015,1.0,0.0,0.0,0.16027582322580536,128.15158063011594,0.96,832.8843810396013,799.5690057980172,33.31537524158408,,,,850.1972531841923,2400.0,2220.0,180.0,2400.0,0.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0.0,0.0,0.3829717356685545,212.5493132960479,0.925,600.0,555.0,45.0,1.0,0.0,0.0,0.38297173566855514,212.5493132960483,0.925,600.0,555.0,45.0,1.0,,,0.101,224.22000000000043,2220.0,2220.0,0.0,68.82000000000012,0.0,,,280.0,0.0,120.4,4.0,1459.1508948809644,0.0,-0.0,0.0,148.24973091990597
4,1,5,0.1016,0.0,1459.1508948809642,,,,0,0.0,1,2500.0,2500.0,0.0,400.0,83.0,0.0,,,384.73364169677166,2500.0,2400.0,100.0,2500.0,0.0,1.0,0.0,0.0,0.1603653092494606,128.43048043654056,0.96,834.231237920802,800.8619884039698,33.369249516832106,1.0,0.0,0.0,0.16027582322580525,128.15158063011543,0.96,832.8843810395986,799.5690057980146,33.31537524158397,1.0,0.0,0.0,0.16027582322580522,128.1515806301156,0.96,832.8843810395997,799.5690057980157,33.315375241584015,,,,850.1972531841923,2400.0,2220.0,180.0,2400.0,0.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0.0,0.0,0.3829717356685545,212.5493132960479,0.925,600.0,555.0,45.0,1.0,0.0,0.0,0.38297173566855514,212.5493132960483,0.925,600.0,555.0,45.0,1.0,,,0.101,224.22000000000037,2220.0,2220.0,0.0,68.8200000000001,0.0,,,280.0,0.0,120.4,4.0,1459.1508948809642,0.0,-0.0,0.0,148.24973091990594
5,1,6,0.1016,0.0,1459.1508948809656,,,,0,0.0,1,2500.0,2500.0,0.0,400.0,83.0,0.0,,,384.7336416967719,2500.0,2400.0,100.0,2500.0,0.0,1.0,0.0,0.0,0.1603653092494607,128.43048043654088,0.96,834.2312379208036,800.8619884039714,33.36924951683217,1.0,0.0,0.0,0.16027582322580516,128.15158063011518,0.96,832.8843810395972,799.5690057980133,33.315375241583915,1.0,0.0,0.0,0.16027582322580536,128.15158063011583,0.96,832.8843810396004,799.5690057980163,33.31537524158404,,,,850.1972531841932,2400.0,2220.0,180.0,2400.0,0.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0.0,0.0,0.38297173566855536,212.54931329604855,0.925,600.0,555.0,45.0,1.0,0.0,0.0,0.38297173566855536,212.54931329604858,0.925,600.0,555.0,45.0,1.0,,,0.101,224.22000000000043,2220.0,2220.0,0.0,68.82000000000012,0.0,,,280.0,0.0,120.4,4.0,1459.1508948809656,0.0,-0.0,0.0,148.24973091990609
6,1,7,0.1016,0.0,1459.1508948809656,,,,0,0.0,1,2500.0,2500.0,0.0,400.0,83.0,0.0,,,384.733641696772,2500.0,2400.0,100.0,2500.0,0.0,1.0,0.0,0.0,0.16036530924946096,128.43048043654122,0.96,834.2312379208042,800.8619884039721,33.3692495168322,1.0,0.0,0.0,0.16027582322580505,128.15158063011486,0.96,832.8843810395958,799.569005798012,33.315375241583865,1.0,0.0,-0.0,0.16027582322580539,128.15158063011592,0.96,832.8843810396011,799.569005798017,33.31537524158407,,,,850.1972531841931,2400.0,2220.0,180.0,2400.0,0.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0.0,-0.0,0.38297173566855536,212.54931329604855,0.925,600.0,555.0,45.0,1.0,0.0,-0.0,0.38297173566855525,212.54931329604847,0.925,600.0,555.0,45.0,1.0,,,0.101,224.22000000000043,2220.0,2220.0,0.0,68.82000000000012,0.0,,,280.0,0.0,120.4,4.0,1459.1508948809656,0.0,-0.0,0.0,148.24973091990609
7,1,8,0.1016,0.0,1459.1508948809642,,,,0,0.0,1,2500.0,2500.0,0.0,400.0,83.0,0.0,,,384.7336416967717,2500.0,2400.0,100.0,2500.0,0.0,1.0,0.0,0.0,0.16036530924946077,128.43048043654102,0.96,834.231237920804,800.8619884039718,33.36924951683219,1.0,0.0,0.0,0.16027582322580508,128.15158063011467,0.96,832.8843810395945,799.5690057980106,33.31537524158381,1.0,0.0,-0.0,0.16027582322580539,128.15158063011603,0.96,832.8843810396017,799.5690057980177,33.3153752415841,,,,850.1972531841923,2400.0,2220.0,180.0,2400.0,0.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0.0,-0.0,0.3829717356685545,212.5493132960479,0.925,600.0,555.0,45.0,1.0,0.0,-0.0,0.38297173566855514,212.5493132960483,0.925,600.0,555.0,45.0,1.0,,,0.101,224.22000000000037,2220.0,2220.0,0.0,68.8200000000001,0.0,,,280.0,0.0,120.4,4.0,1459.1508948809642,0.0,-0.0,0.0,148.24973091990594
8,1,9,0.1016,0.0,1459.1508948809642,,,,0,0.0,1,2500.0,2500.0,0.0,400.0,83.0,0.0,,,384.73364169677177,2500.0,2400.0,100.0,2500.0,0.0,1.0,0.0,0.0,0.16036530924946082,128.43048043654116,0.96,834.2312379208047,800.8619884039724,33.36924951683222,1.0,0.0,0.0,0.16027582322580497,128.15158063011438,0.96,832.8843810395931,799.5690057980094,33.31537524158375,1.0,0.0,-0.0,0.1602758232258055,128.15158063011623,0.96,832.8843810396024,799.5690057980183,33.31537524158413,,,,850.1972531841923,2400.0,2220.0,180.0,2400.0,0.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0.0,-0.0,0.38297173566855464,212.54931329604793,0.925,600.0,555.0,45.0,1.0,0.0,-0.0,0.38297173566855514,212.5493132960483,0.925,600.0,555.0,45.0,1.0,,,0.101,224.22000000000037,2220.0,2220.0,0.0,68.8200000000001,0.0,,,280.0,0.0,120.4,4.0,1459.1508948809642,0.0,-0.0,0.0,148.24973091990594
9,1,10,0.1016,0.0,1459.150894880965,,,,0,0.0,1,2500.0,2500.0,0.0,400.0,83.0,0.0,,,384.7336416967718,2500.0,2400.0,100.0,2500.0,0.0,1.0,0.0,0.0,0.16036530924946094,128.43048043654144,0.96,834.231237920806,800.8619884039738,33.36924951683227,1.0,0.0,0.0,0.16027582322580478,128.151580630114,0.96,832.8843810395917,799.569005798008,33.3153752415837,1.0,0.0,-0.0,0.16027582322580552,128.15158063011637,0.96,832.8843810396031,799.5690057980189,33.31537524158416,,,,850.1972531841928,2400.0,2220.0,180.0,2400.0,0.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0,0,0.3829717356685548,212.54931329604804,0.925,600.0,555.0,45.0,1.0,0.0,-0.0,0.3829717356685545,212.5493132960479,0.925,600.0,555.0,45.0,1.0,0.0,-0.0,0.38297173566855547,212.54931329604878,0.925,600.0,555.0,45.0,1.0,,,0.101,224.22000000000043,2220.0,2220.0,0.0,68.82000000000012,0.0,,,280.0,0.0,120.4,4.0,1459.150894880965,0.0,-0.0,0.0,148.24973091990606
