Hours since 00:00 Jan 1,Raw kW solar,PV_prod,Raw kW wind,wind_prod
3694.5,-0.0269165,0,205.989,0.68663
3695.5,-0.0269165,0,178.799,0.595996667
3696.5,-0.0269165,0,125.102,0.417006667
3697.5,-0.0269165,0,100.836,0.33612
3698.5,-0.0269165,0,110.559,0.36853
3699.5,-0.0269165,0,86.2518,0.287506
3700.5,-0.0269165,0,92.0205,0.306735
3701.5,-0.0269165,0,61.4462,0.204820667
3702.5,11.9368,0.039789333,41.7755,0.139251667
3703.5,41.42,0.138066667,32.2452,0.107484
3704.5,124.071,0.41357,32.533,0.108443333
3705.5,131.269,0.437563333,43.673,0.145576667
3706.5,95.696,0.318986667,30.8565,0.102855
3707.5,155.559,0.51853,40.1892,0.133964
3708.5,229.847,0.766156667,49.1091,0.163697
3709.5,107.562,0.35854,24.1456,0.080485333
3710.5,201.684,0.67228,24.2462,0.080820667
3711.5,167.438,0.558126667,26.8993,0.089664333
3712.5,121.376,0.404586667,72.5907,0.241969
3713.5,60.0245,0.200081667,65.9481,0.219827
3714.5,9.22907,0.030763567,112.064,0.373546667
3715.5,-0.0269165,0,189.446,0.631486667
3716.5,-0.0269165,0,172.211,0.574036667
3717.5,-0.0269165,0,250.157,0.833856667
3718.5,-0.0269165,0,250.334,0.834446667
3719.5,-0.0269165,0,244.424,0.814746667
3720.5,-0.0269165,0,236.577,0.78859
3721.5,-0.0269165,0,138.445,0.461483333
3722.5,-0.0269165,0,141.138,0.47046
3723.5,-0.0269165,0,120.132,0.40044
3724.5,-0.0269165,0,84.3915,0.281305
3725.5,-0.0269165,0,96.6324,0.322108
3726.5,11.9632,0.039877333,68.5447,0.228482333
3727.5,63.0292,0.210097333,113.808,0.37936
3728.5,39.9547,0.133182333,111.947,0.373156667
3729.5,170.945,0.569816667,81.8793,0.272931
3730.5,204.71,0.682366667,109.261,0.364203333
3731.5,225.126,0.75042,141.899,0.472996667
3732.5,231.059,0.770196667,145.482,0.48494
3733.5,223.875,0.74625,127.845,0.42615
3734.5,202.845,0.67615,178.32,0.5944
3735.5,167.953,0.559843333,121.562,0.405206667
3736.5,121.883,0.406276667,102.206,0.340686667
3737.5,60.5341,0.201780333,162.144,0.54048
3738.5,9.92368,0.033078933,152.524,0.508413333
3739.5,-0.0269165,0,250.334,0.834446667
3740.5,-0.0269165,0,236.79,0.7893
3741.5,-0.0269165,0,241.003,0.803343333
3742.5,-0.0269165,0,242.568,0.80856
3743.5,-0.0269165,0,241.74,0.8058
3744.5,-0.0269165,0,199.673,0.665576667
3745.5,-0.0269165,0,190.293,0.63431
3746.5,-0.0269165,0,104.588,0.348626667
3747.5,-0.0269165,0,91.6378,0.305459333
3748.5,-0.0269165,0,45.945,0.15315
3749.5,-0.0269165,0,47.686,0.158953333
3750.5,13.0812,0.043604,27.6938,0.092312667
3751.5,39.4706,0.131568667,35.9253,0.119751
3752.5,96.6571,0.322190333,42.9562,0.143187333
3753.5,80.4669,0.268223,75.454,0.251513333
3754.5,178.256,0.594186667,98.152,0.327173333
3755.5,219.927,0.73309,65.2168,0.217389333
3756.5,226.16,0.753866667,100.469,0.334896667
3757.5,219.292,0.730973333,103.812,0.34604
3758.5,198.427,0.661423333,109.184,0.363946667
3759.5,142.266,0.47422,148.094,0.493646667
3760.5,119.846,0.399486667,178.57,0.595233333
3761.5,59.6998,0.198999333,152.369,0.507896667
3762.5,9.90959,0.033031967,235.293,0.78431
3763.5,-0.0269165,0,250.334,0.834446667
3764.5,-0.0269165,0,250.334,0.834446667
3765.5,-0.0269165,0,250.334,0.834446667
3766.5,-0.0269165,0,247.186,0.823953333
3767.5,-0.0269165,0,245.819,0.819396667
3768.5,-0.0269165,0,217.051,0.723503333
3769.5,-0.0269165,0,241.219,0.804063333
3770.5,-0.0269165,0,239.91,0.7997
3771.5,-0.0269165,0,154.023,0.51341
3772.5,-0.0269165,0,173.499,0.57833
3773.5,-0.0269165,0,109.953,0.36651
3774.5,12.4988,0.041662667,51.498,0.17166
3775.5,63.2249,0.210749667,56.2248,0.187416
3776.5,74.7428,0.249142667,125.838,0.41946
3777.5,126.577,0.421923333,123.761,0.412536667
3778.5,199.324,0.664413333,162.015,0.54005
3779.5,187.586,0.625286667,239.554,0.798513333
3780.5,224.068,0.746893333,83.03,0.276766667
3781.5,217.055,0.723516667,149.093,0.496976667
3782.5,196.257,0.65419,241.012,0.803373333
3783.5,163.33,0.544433333,197.711,0.659036667
3784.5,115.955,0.386516667,133.679,0.445596667
3785.5,59.4804,0.198268,204.122,0.680406667
3786.5,11.6649,0.038883,226.687,0.755623333
3787.5,-0.0269165,0,248.597,0.828656667
3788.5,-0.0269165,0,250.334,0.834446667
3789.5,-0.0269165,0,248.399,0.827996667
3790.5,-0.0269165,0,243.397,0.811323333
3791.5,-0.0269165,0,250.334,0.834446667
3792.5,-0.0269165,0,235.265,0.784216667
3793.5,-0.0269165,0,218.965,0.729883333
3794.5,-0.0269165,0,238.399,0.794663333
3795.5,-0.0269165,0,173.375,0.577916667
3796.5,-0.0269165,0,161.284,0.537613333
3797.5,-0.0269165,0,119.304,0.39768
3798.5,11.7949,0.039316333,76.2292,0.254097333
3799.5,61.3889,0.204629667,77.6507,0.258835667
3800.5,119.665,0.398883333,47.3292,0.157764
3801.5,163.005,0.54335,66.1333,0.220444333
3802.5,195.002,0.650006667,99.6804,0.332268
3803.5,213.524,0.711746667,78.0408,0.260136
3804.5,220.608,0.73536,238.704,0.79568
3805.5,215.076,0.71692,138.173,0.460576667
3806.5,195.896,0.652986667,145.555,0.485183333
3807.5,164.152,0.547173333,232.612,0.775373333
3808.5,86.1474,0.287158,250.334,0.834446667
3809.5,59.8968,0.199656,210.431,0.701436667
3810.5,11.0021,0.036673667,245.663,0.818876667
3811.5,-0.0269165,0,247.653,0.82551
3812.5,-0.0269165,0,239.739,0.79913
3813.5,-0.0269165,0,230.21,0.767366667
3814.5,-0.0269165,0,243.856,0.812853333
3815.5,-0.0269165,0,230.955,0.76985
3816.5,-0.0269165,0,242.492,0.808306667
3817.5,-0.0269165,0,248.299,0.827663333
3818.5,-0.0269165,0,225.027,0.75009
3819.5,-0.0269165,0,108.031,0.360103333
3820.5,-0.0269165,0,146.652,0.48884
3821.5,-0.0269165,0,239.187,0.79729
3822.5,10.1841,0.033947,146.25,0.4875
3823.5,61.9373,0.206457667,105.472,0.351573333
3824.5,122.121,0.40707,104.857,0.349523333
3825.5,108.805,0.362683333,127.437,0.42479
3826.5,111.339,0.37113,110.721,0.36907
3827.5,219.333,0.73111,59.8226,0.199408667
3828.5,225.83,0.752766667,88.8883,0.296294333
3829.5,219.23,0.730766667,93.0644,0.310214667
3830.5,199.221,0.66407,43.5742,0.145247333
3831.5,165.71,0.552366667,82.5134,0.275044667
3832.5,120.227,0.400756667,28.6571,0.095523667
3833.5,60.4067,0.201355667,98.544,0.32848
3834.5,10.1937,0.033979,56.0662,0.186887333
3835.5,-0.0269165,0,193.417,0.644723333
3836.5,-0.0269165,0,250.334,0.834446667
3837.5,-0.0269165,0,36.0588,0.120196
3838.5,-0.0269165,0,74.8877,0.249625667
3839.5,-0.0269165,0,23.9737,0.079912333
3840.5,-0.0269165,0,11.4143,0.038047667
3841.5,-0.0269165,0,41.4577,0.138192333
3842.5,-0.0269165,0,47.521,0.158403333
3843.5,-0.0269165,0,62.2195,0.207398333
3844.5,-0.0269165,0,28.2307,0.094102333
3845.5,-0.0269165,0,60.1471,0.200490333
3846.5,10.5204,0.035068,73.4011,0.244670333
3847.5,62.0076,0.206692,56.5013,0.188337667
3848.5,74.8659,0.249553,21.7627,0.072542333
3849.5,166.891,0.556303333,48.1919,0.160639667
3850.5,141.949,0.473163333,84.5076,0.281692
3851.5,218.447,0.728156667,88.1574,0.293858
3852.5,224.513,0.748376667,89.1817,0.297272333
3853.5,217.415,0.724716667,156.142,0.520473333
3854.5,197.075,0.656916667,72.4373,0.241457667
3855.5,164.136,0.54712,62.1411,0.207137
3856.5,119.137,0.397123333,43.1419,0.143806333
3857.5,60.1253,0.200417667,6.88977,0.0229659
3858.5,11.1286,0.037095333,19.6126,0.065375333
3859.5,-0.0269165,0,40.9432,0.136477333
3860.5,-0.0269165,0,26.1832,0.087277333
3861.5,-0.0269165,0,51.8212,0.172737333
3862.5,-0.0269165,0,64.4678,0.214892667
