Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)
0.5,-0.0269165
1.5,-0.0269165
2.5,-0.0269165
3.5,-0.0269165
4.5,-0.0269165
5.5,-0.0269165
6.5,-0.0269165
7.5,-0.0269165
8.5,33.2873
9.5,17.3815
10.5,46.9937
11.5,99.0208
12.5,56.7419
13.5,54.4329
14.5,51.5847
15.5,36.6886
16.5,24.4669
17.5,-0.0269165
18.5,-0.0269165
19.5,-0.0269165
20.5,-0.0269165
21.5,-0.0269165
22.5,-0.0269165
23.5,-0.0269165
24.5,-0.0269165
25.5,-0.0269165
26.5,-0.0269165
27.5,-0.0269165
28.5,-0.0269165
29.5,-0.0269165
30.5,-0.0269165
31.5,-0.0269165
32.5,10.956
33.5,52.5323
34.5,76.4007
35.5,109.866
36.5,192.33
37.5,235.205
38.5,207.75
39.5,161.537
40.5,56.9196
41.5,-0.0269165
42.5,-0.0269165
43.5,-0.0269165
44.5,-0.0269165
45.5,-0.0269165
46.5,-0.0269165
47.5,-0.0269165
48.5,-0.0269165
49.5,-0.0269165
50.5,-0.0269165
51.5,-0.0269165
52.5,-0.0269165
53.5,-0.0269165
54.5,-0.0269165
55.5,-0.0269165
56.5,80.916
57.5,154.983
58.5,200.411
59.5,226.269
60.5,235.232
61.5,225.441
62.5,200.451
63.5,159.679
64.5,95.1858
65.5,7.52259
66.5,-0.0269165
67.5,-0.0269165
68.5,-0.0269165
69.5,-0.0269165
70.5,-0.0269165
71.5,-0.0269165
72.5,-0.0269165
73.5,-0.0269165
74.5,-0.0269165
75.5,-0.0269165
76.5,-0.0269165
77.5,-0.0269165
78.5,-0.0269165
79.5,-0.0269165
80.5,40.4423
81.5,146.044
82.5,192.578
83.5,107.66
84.5,88.8536
85.5,78.6463
86.5,35.5818
87.5,20.0373
88.5,13.1631
89.5,2.61622
90.5,-0.0269165
91.5,-0.0269165
92.5,-0.0269165
93.5,-0.0269165
94.5,-0.0269165
95.5,-0.0269165
96.5,-0.0269165
97.5,-0.0269165
98.5,-0.0269165
99.5,-0.0269165
100.5,-0.0269165
101.5,-0.0269165
102.5,-0.0269165
103.5,-0.0269165
104.5,-0.0269165
105.5,90.1219
106.5,141.739
107.5,51.1488
108.5,46.9996
109.5,87.6524
110.5,30.7085
111.5,32.2127
112.5,5.24933
113.5,-0.0269165
114.5,-0.0269165
115.5,-0.0269165
116.5,-0.0269165
117.5,-0.0269165
118.5,-0.0269165
119.5,-0.0269165
120.5,-0.0269165
121.5,-0.0269165
122.5,-0.0269165
123.5,-0.0269165
124.5,-0.0269165
125.5,-0.0269165
126.5,-0.0269165
127.5,-0.0269165
128.5,79.7684
129.5,149.327
