Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)
0.5,93.4343
1.5,117.138
2.5,104.585
3.5,55.1478
4.5,92.709
5.5,152.427
6.5,184.268
7.5,168.019
8.5,119.246
9.5,78.4102
10.5,85.9295
11.5,113.107
12.5,164.044
13.5,163.076
14.5,145.609
15.5,154.343
16.5,153.074
17.5,114.335
18.5,130.291
19.5,120.081
20.5,106.288
21.5,61.3933
22.5,56.4516
23.5,78.282
24.5,250.334
25.5,250.334
26.5,250.334
27.5,250.334
28.5,250.334
29.5,250.334
30.5,250.334
31.5,250.334
32.5,250.334
33.5,250.334
34.5,250.334
35.5,250.334
36.5,250.334
37.5,240.342
38.5,209.028
39.5,204.591
40.5,149.395
41.5,110.45
42.5,87.864
43.5,87.2255
44.5,68.2394
45.5,54.6187
46.5,36.5579
47.5,34.9854
48.5,35.1348
49.5,16.3385
50.5,8.42097
51.5,9.04661
52.5,10.7365
53.5,9.06752
54.5,6.92456
55.5,9.40309
56.5,10.8715
57.5,13.6993
58.5,18.329
59.5,28.9178
60.5,41.2983
61.5,70.4356
62.5,104.44
63.5,116.162
64.5,125.831
65.5,130.762
66.5,237.053
67.5,219.4
68.5,248.176
69.5,250.334
70.5,250.334
71.5,250.334
72.5,249.999
73.5,248.091
74.5,247.776
75.5,246.803
76.5,243.428
77.5,239.925
78.5,238.326
79.5,241.853
80.5,235.059
81.5,239.581
82.5,250.334
83.5,250.334
84.5,250.334
85.5,250.334
86.5,250.334
87.5,243.298
88.5,250.334
89.5,250.334
90.5,250.334
91.5,250.334
92.5,250.334
93.5,246.59
94.5,248.026
95.5,250.334
96.5,249.213
97.5,246.18
98.5,250.334
99.5,250.334
100.5,242.631
101.5,250.334
102.5,91.7095
103.5,250.334
104.5,250.334
105.5,250.334
106.5,250.334
107.5,250.334
108.5,250.334
109.5,250.334
110.5,250.334
111.5,250.334
112.5,250.334
113.5,250.334
114.5,250.334
115.5,250.334
116.5,250.334
117.5,250.334
118.5,250.334
119.5,250.334
120.5,250.334
121.5,250.334
122.5,250.334
123.5,250.334
124.5,250.334
125.5,250.334
126.5,250.334
127.5,250.334
128.5,250.334
129.5,232.322
130.5,191.54
131.5,184.452
132.5,151.561
133.5,93.4965
134.5,80.7792
135.5,43.7036
136.5,25.4194
137.5,19.4778
138.5,14.0529
139.5,9.91932
140.5,8.75405
141.5,9.66825
142.5,2.97408
143.5,7.05977
144.5,5.51414
145.5,13.8994
146.5,15.6253
147.5,13.7959
148.5,21.5156
149.5,20.6257
150.5,25.336
151.5,23.3252
152.5,31.5691
153.5,24.2307
154.5,25.5088
155.5,24.9437
156.5,31.3869
157.5,59.0982
158.5,79.2975
159.5,110.965
160.5,101.769
161.5,108.398
162.5,122.26
163.5,164.713
164.5,237.403
165.5,247.001
166.5,215.54
167.5,164.958
168.5,130.205
169.5,126.738
170.5,103.36
